number,value,datetime_start,datetime_complete,duration,params_background_amplitude_fraction,params_background_center,params_background_offset,params_background_width,params_peak_1_amplitude_fraction,params_peak_1_center,params_peak_1_sigma,params_peak_2_amplitude_fraction,params_peak_2_center,params_peak_2_sigma,system_attrs_fixed_params,state
1830,0.17897872644022889,2026-07-17 16:29:44.425012,2026-07-17 16:29:44.458474,0 days 00:00:00.033462,0.011542355591891096,780.7229404057246,-252.2109352732516,4.107269074801282,0.919310474558495,779.4925320492945,1.1214310575734223,0.12071397107287012,779.8331210311128,1.9236974831462739,,COMPLETE
1831,0.26346726644645624,2026-07-17 16:29:44.458474,2026-07-17 16:29:44.497919,0 days 00:00:00.039445,0.28235682438723303,781.4566416781447,-91.08785560209736,1.8581393249897655,0.8954514667997301,779.8059781092445,0.15746343931412676,0.41114971217234375,778.2899378503824,2.9524697079886613,,COMPLETE
1832,0.6342284357567449,2026-07-17 16:29:44.497919,2026-07-17 16:29:44.524443,0 days 00:00:00.026524,0.15329455203154546,781.6277228521119,-47.58335882606869,3.458416453451235,0.780527298794456,777.5926367752525,1.3391952772123883,0.6813230286021523,776.596284388886,2.791267112004344,,COMPLETE
1833,1.012876464869295,2026-07-17 16:29:44.524443,2026-07-17 16:29:44.559227,0 days 00:00:00.034784,0.2716141103091145,781.3219492565609,752.1962820291566,0.3339608386614389,1.4259173441815292,781.3621194315335,0.9663719791976754,0.0022941026311270596,778.06554609713,2.709852002823906,,COMPLETE
1834,0.5753414378300258,2026-07-17 16:29:44.559227,2026-07-17 16:29:44.591865,0 days 00:00:00.032638,1.2974608163889847,781.4507186878647,-151.3067277491299,7.038119017395537,0.7392680832225315,780.3083352686563,1.121410463436332,0.24837480251306332,778.7390275551093,2.7598081976113034,,COMPLETE
1835,0.134376863959517,2026-07-17 16:29:44.591865,2026-07-17 16:29:44.623244,0 days 00:00:00.031379,-0.0432459369290516,779.6730649386234,-70.82837377319757,3.2687159675685553,1.192434565193091,779.4240902115152,1.0063741907855568,0.1817506283006342,776.3822154375866,2.7288827526084223,,COMPLETE
1836,0.4589147565629168,2026-07-17 16:29:44.623244,2026-07-17 16:29:44.648362,0 days 00:00:00.025118,1.2158898301952692,782.6945257877762,-176.5169645584786,1.5402067307464635,0.6595079690492245,779.8534018693241,2.583939554203913,0.15463397057523387,779.3869701912411,0.30783034528961983,,COMPLETE
1837,0.37150890678776677,2026-07-17 16:29:44.648362,2026-07-17 16:29:44.677082,0 days 00:00:00.028720,0.39624955995831823,781.2114886215527,-112.64335095828702,3.5709937496155844,0.7972476839815771,781.2964551239752,1.237423861806425,0.3559133090681021,778.8949540815278,1.2541079873404148,,COMPLETE
1838,0.6358174708358543,2026-07-17 16:29:44.677082,2026-07-17 16:29:44.713728,0 days 00:00:00.036646,0.4905276565132985,782.6507751818162,-233.6061016145669,1.2675505311059798,0.8797455362677125,782.2510085752774,1.249977060208141,0.08376986566349193,778.553411074151,2.984792930116128,,COMPLETE
1839,0.4682208252237343,2026-07-17 16:29:44.713728,2026-07-17 16:29:44.741052,0 days 00:00:00.027324,0.5226527584643519,783.8915936044782,-297.7695842148566,1.1923112368775208,0.6654170130642063,777.4398423675052,1.815081796037314,0.11247991306228272,776.3249149048567,1.783431806345734,,COMPLETE
1840,2.149109303643158,2026-07-17 16:29:44.741052,2026-07-17 16:29:44.773845,0 days 00:00:00.032793,1.0871287984602995,776.369805415104,733.8942977316068,2.432569013501729,1.4274556038619377,780.1161781070475,2.631361282931155,0.6391764481793916,778.8666168959306,0.20030140588773748,,COMPLETE
1841,0.10551127616251521,2026-07-17 16:29:44.773845,2026-07-17 16:29:44.805277,0 days 00:00:00.031432,0.20128876606249227,782.5750211935011,-225.1183466258838,6.151075858465535,0.899033063857998,779.7909517892838,1.3824183731599842,0.04994469731078649,778.5640967873176,2.4067823989511776,,COMPLETE
1842,0.13995431221953666,2026-07-17 16:29:44.805277,2026-07-17 16:29:44.839113,0 days 00:00:00.033836,0.3312687988838764,782.3415882662521,-189.61343871702093,3.2895661009574084,0.9518535961737,779.6446058297955,0.7175572781502069,0.4470311365381557,776.948879803406,2.952631147526592,,COMPLETE
