binding_energy_eV,intensity,background,co2_peak,co3_peak,fitted
7.794950000000000045e+02,1.246549999999999955e+03,1.119106972595408145e+01,1.242369317861034233e+03,9.298177212479329379e-01,1.254490205308236227e+03
7.795950000000000273e+02,1.229869999999999891e+03,9.592749521752242714e+00,1.237580863304337527e+03,1.401883459774927454e+00,1.248575496285864801e+03
7.796950000000000500e+02,1.205130000000000109e+03,8.168047986848639752e+00,1.222276587679055865e+03,2.075963471979549002e+00,1.232520599137884119e+03
7.797949999999999591e+02,1.173289999999999964e+03,6.912350621416851304e+00,1.196846463215641052e+03,3.019403864138120230e+00,1.206778217701196127e+03
7.798949999999999818e+02,1.135380000000000109e+03,5.817072895681553391e+00,1.161931239699466005e+03,4.313366972967662250e+00,1.172061679568115323e+03
7.799950000000000045e+02,1.092470000000000027e+03,4.870944185725378794e+00,1.118395615292691446e+03,6.052089111274788991e+00,1.129318648589691747e+03
7.800950000000000273e+02,1.045529999999999973e+03,4.060637164476871952e+00,1.067292660832747970e+03,8.340420027350148757e+00,1.079693718024574991e+03
7.801950000000000500e+02,9.954279999999999973e+02,3.371979886111711622e+00,1.009821540078838439e+03,1.128922773648481659e+01,1.024482747701435073e+03
7.802949999999999591e+02,9.429009999999999536e+02,2.790712254726614550e+00,9.472808924308154701e+02,1.500839492112553941e+01,9.650799996066675703e+02
7.803949999999999818e+02,8.885240000000000009e+02,2.303014080140060038e+00,8.810203991206791443e+02,1.959737788316410345e+01,9.029207910839833175e+02
7.804950000000000045e+02,8.327989999999999782e+02,1.896129563820831532e+00,8.123930342602309338e+02,2.513363987667417021e+01,8.394228037007259218e+02
7.805950000000000273e+02,7.762580000000000382e+02,1.558683338957695064e+00,7.427103184828700932e+02,3.165967937848426672e+01,7.759286812003120986e+02
7.806950000000000500e+02,7.195270000000000437e+02,1.280701924914996237e+00,6.732025682761998269e+02,3.916979872189199341e+01,7.136530689230067992e+02
7.807949999999999591e+02,6.633179999999999836e+02,1.053444592780100164e+00,6.049857016142334487e+02,4.759812777834093112e+01,6.536372739853544545e+02
7.808949999999999818e+02,6.084160000000000537e+02,8.692681207304138180e-01,5.390356598202740770e+02,5.680964878917436778e+01,5.967145767301789192e+02
7.809950000000000045e+02,5.556019999999999754e+02,7.214455465610366547e-01,4.761709788473107778e+02,6.659598416499510165e+01,5.434884085588669222e+02
7.810950000000000273e+02,5.055480000000000018e+02,6.040212488407636915e-01,4.170435309893059639e+02,7.667745354299964333e+01,4.943250057811463876e+02
7.811950000000000500e+02,4.587269999999999754e+02,5.117292609021001359e-01,3.621369961350572453e+02,8.671236370160167439e+01,4.493610890975610346e+02
7.812949999999999591e+02,4.154030000000000200e+02,4.399959658514682181e-01,3.117722381037014543e+02,9.631370094664153214e+01,4.085259350161944667e+02
7.813949999999999818e+02,3.756220000000000141e+02,3.848977047653572847e-01,2.661184751342814252e+02,1.050724408319523491e+02,3.715758136709991390e+02
7.814950000000000045e+02,3.392599999999999909e+02,3.431357702548001321e-01,2.252089531125020301e+02,1.125857107539443405e+02,3.381377996367011747e+02
7.815950000000000273e+02,3.060779999999999745e+02,3.119816519253118536e-01,1.889597549847607638e+02,1.184871981429273404e+02,3.077589347796134120e+02
7.816950000000000500e+02,2.758039999999999736e+02,2.892351480286905474e-01,1.571904011921969584e+02,1.224766472023480617e+02,2.799562835425737148e+02
7.817949999999999591e+02,2.481680000000000064e+02,2.731434489552409528e-01,1.296449986415536273e+02,1.243451502333187193e+02,2.542632923238275851e+02
7.818949999999999818e+02,2.229350000000000023e+02,2.623413379567978709e-01,1.060128603641069986e+02,1.239932709568492868e+02,2.302684726589130833e+02
7.819950000000000045e+02,1.999000000000000057e+02,2.557775747532778365e-01,8.594772337176871702e+01,1.214398118162858964e+02,2.076433127628079092e+02
7.820950000000000273e+02,1.789019999999999868e+02,2.526876331397094888e-01,6.908491730729006974e+01,1.168201494249016861e+02,1.861577543653314706e+02
7.821950000000000500e+02,1.597709999999999866e+02,2.524978819529727359e-01,5.505606229749527358e+01,1.103743432426188917e+02,1.656829034220671417e+02
7.822949999999999591e+02,1.423170000000000073e+02,2.547722508270442998e-01,4.350108519510403937e+01,1.024264711894497424e+02,1.461823286353808271e+02
7.823949999999999818e+02,1.263149999999999977e+02,2.591413235982705787e-01,3.407752738856440544e+01,9.335766737820895855e+01,1.276943360903716354e+02
7.824950000000000045e+02,1.115330000000000013e+02,2.652979148771559825e-01,2.646726707343615459e+01,8.357597974932065199e+01,1.103085447376339658e+02
7.825950000000000273e+02,9.773149999999999693e+01,2.729548592285730990e-01,2.038089088305531860e+01,7.348634784199188630e+01,9.414019358427577799e+01
7.826950000000000500e+02,8.474630000000000507e+01,2.820321260556079568e-01,1.556002418899222306e+01,6.346372435681987412e+01,7.930578067186770852e+01
7.827949999999999591e+02,7.250879999999999370e+01,2.928374206982321537e-01,1.177796912794223516e+01,5.383170669490326787e+01,6.590251324354373708e+01
7.828949999999999818e+02,6.107090000000000174e+01,3.063933425502363139e-01,8.839009391331821064e+00,4.484814104084938435e+01,5.399354377473144240e+01
7.829950000000000045e+02,5.057070000000000221e+01,3.247160844941027191e-01,6.576727064265088352e+00,3.669817324574236039e+01,4.359961639450155246e+01
7.830950000000000273e+02,4.119800000000000040e+01,3.511577561141201453e-01,4.851645746112494884e+00,2.949430385393944931e+01,3.469710735616606456e+01
7.831950000000000500e+02,3.310280000000000200e+01,3.904896143565845801e-01,3.548472024487763665e+00,2.328228262109840685e+01,2.722124425994275398e+01
7.832949999999999591e+02,2.634230000000000160e+01,4.489906931772672527e-01,2.573159628135414767e+00,1.805122446476218201e+01,2.107337478607486503e+01
7.833949999999999818e+02,2.085050000000000026e+01,5.345031529833453865e-01,1.849971815504551476e+00,1.374616269194394214e+01,1.613063766043183733e+01
