frame_index,frame_label,previous_frame_label,coordination_event_count,formed_count,broken_count,pair
1622,set_000__step_00081150,set_000__step_00081100,58,27,31,O-Zn
1623,set_000__step_00081200,set_000__step_00081150,50,30,20,O-Zn
1624,set_000__step_00081250,set_000__step_00081200,63,23,40,O-Zn
1625,set_000__step_00081300,set_000__step_00081250,62,35,27,O-Zn
1626,set_000__step_00081350,set_000__step_00081300,46,23,23,O-Zn
1627,set_000__step_00081400,set_000__step_00081350,60,31,29,O-Zn
1628,set_000__step_00081450,set_000__step_00081400,45,24,21,O-Zn
1629,set_000__step_00081500,set_000__step_00081450,56,23,33,O-Zn
1630,set_000__step_00081550,set_000__step_00081500,56,28,28,O-Zn
1631,set_000__step_00081600,set_000__step_00081550,47,26,21,O-Zn
1632,set_000__step_00081650,set_000__step_00081600,41,23,18,O-Zn
1633,set_000__step_00081700,set_000__step_00081650,55,27,28,O-Zn
1634,set_000__step_00081750,set_000__step_00081700,43,24,19,O-Zn
1635,set_000__step_00081800,set_000__step_00081750,45,21,24,O-Zn
1636,set_000__step_00081850,set_000__step_00081800,42,20,22,O-Zn
1637,set_000__step_00081900,set_000__step_00081850,50,24,26,O-Zn
1638,set_000__step_00081950,set_000__step_00081900,55,23,32,O-Zn
1639,set_000__step_00082000,set_000__step_00081950,68,35,33,O-Zn
1640,set_000__step_00082050,set_000__step_00082000,53,28,25,O-Zn
1641,set_000__step_00082100,set_000__step_00082050,54,26,28,O-Zn
1642,set_000__step_00082150,set_000__step_00082100,51,28,23,O-Zn
1643,set_000__step_00082200,set_000__step_00082150,60,30,30,O-Zn
1644,set_000__step_00082250,set_000__step_00082200,57,28,29,O-Zn
1645,set_000__step_00082300,set_000__step_00082250,49,25,24,O-Zn
1646,set_000__step_00082350,set_000__step_00082300,46,24,22,O-Zn
1647,set_000__step_00082400,set_000__step_00082350,51,25,26,O-Zn
1648,set_000__step_00082450,set_000__step_00082400,46,21,25,O-Zn
1649,set_000__step_00082500,set_000__step_00082450,66,32,34,O-Zn
1650,set_000__step_00082550,set_000__step_00082500,53,29,24,O-Zn
1651,set_000__step_00082600,set_000__step_00082550,60,29,31,O-Zn
1652,set_000__step_00082650,set_000__step_00082600,55,28,27,O-Zn
