frame_index,frame_label,previous_frame_label,organic-surface,water-surface,organic-water
1208,set_000__step_00060450,set_000__step_00060400,0,4,0
1209,set_000__step_00060500,set_000__step_00060450,0,7,0
1210,set_000__step_00060550,set_000__step_00060500,0,5,0
1211,set_000__step_00060600,set_000__step_00060550,0,4,0
1212,set_000__step_00060650,set_000__step_00060600,0,3,0
1213,set_000__step_00060700,set_000__step_00060650,0,4,0
1214,set_000__step_00060750,set_000__step_00060700,0,1,0
1215,set_000__step_00060800,set_000__step_00060750,0,8,0
1216,set_000__step_00060850,set_000__step_00060800,0,7,0
1217,set_000__step_00060900,set_000__step_00060850,0,2,0
1218,set_000__step_00060950,set_000__step_00060900,0,7,0
1219,set_000__step_00061000,set_000__step_00060950,0,6,0
1220,set_000__step_00061050,set_000__step_00061000,0,2,0
1221,set_000__step_00061100,set_000__step_00061050,0,4,0
1222,set_000__step_00061150,set_000__step_00061100,0,6,0
1223,set_000__step_00061200,set_000__step_00061150,0,3,0
1224,set_000__step_00061250,set_000__step_00061200,0,7,0
1225,set_000__step_00061300,set_000__step_00061250,0,7,0
1226,set_000__step_00061350,set_000__step_00061300,0,2,0
1227,set_000__step_00061400,set_000__step_00061350,0,6,0
1228,set_000__step_00061450,set_000__step_00061400,0,5,0
1229,set_000__step_00061500,set_000__step_00061450,0,5,0
