frame_index,frame_label,previous_frame_label,interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
36,set_000__step_00018050,set_000__step_00017550,water-surface,formed,879,1038,surface,water,O,H,H-O,,1.060805
36,set_000__step_00018050,set_000__step_00017550,water-surface,broken,354,1043,surface,water,O,H,H-O,1.109944,
36,set_000__step_00018050,set_000__step_00017550,water-surface,broken,388,1042,surface,water,Zn,O,O-Zn,2.014615,
36,set_000__step_00018050,set_000__step_00017550,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.097615,
37,set_000__step_00018550,set_000__step_00018050,water-surface,formed,59,1050,surface,water,O,H,H-O,,1.012961
37,set_000__step_00018550,set_000__step_00018050,water-surface,formed,354,1043,surface,water,O,H,H-O,,1.118697
37,set_000__step_00018550,set_000__step_00018050,water-surface,formed,368,1045,surface,water,Zn,O,O-Zn,,1.982765
37,set_000__step_00018550,set_000__step_00018050,water-surface,formed,388,1042,surface,water,Zn,O,O-Zn,,1.948394
37,set_000__step_00018550,set_000__step_00018050,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,2.010716,
37,set_000__step_00018550,set_000__step_00018050,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.177222,
38,set_000__step_00019050,set_000__step_00018550,water-surface,formed,13,988,surface,water,Zn,O,O-Zn,,2.133103
38,set_000__step_00019050,set_000__step_00018550,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.051478
38,set_000__step_00019050,set_000__step_00018550,water-surface,broken,59,1050,surface,water,O,H,H-O,1.012961,
38,set_000__step_00019050,set_000__step_00018550,water-surface,broken,273,1021,surface,water,Zn,O,O-Zn,2.088125,
38,set_000__step_00019050,set_000__step_00018550,water-surface,broken,333,1048,surface,water,Zn,O,O-Zn,1.925067,
38,set_000__step_00019050,set_000__step_00018550,water-surface,broken,839,1053,surface,water,O,H,H-O,1.234820,
38,set_000__step_00019050,set_000__step_00018550,water-surface,broken,879,1038,surface,water,O,H,H-O,1.122921,
39,set_000__step_00019550,set_000__step_00019050,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,1.948460
39,set_000__step_00019550,set_000__step_00019050,water-surface,formed,273,1021,surface,water,Zn,O,O-Zn,,1.990875
39,set_000__step_00019550,set_000__step_00019050,water-surface,formed,333,1048,surface,water,Zn,O,O-Zn,,2.188761
39,set_000__step_00019550,set_000__step_00019050,water-surface,formed,699,989,surface,water,O,H,H-O,,0.994245
39,set_000__step_00019550,set_000__step_00019050,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.129457
39,set_000__step_00019550,set_000__step_00019050,water-surface,formed,839,1053,surface,water,O,H,H-O,,1.181101
39,set_000__step_00019550,set_000__step_00019050,water-surface,formed,879,1038,surface,water,O,H,H-O,,1.239186
39,set_000__step_00019550,set_000__step_00019050,water-surface,broken,354,1043,surface,water,O,H,H-O,1.025504,
39,set_000__step_00019550,set_000__step_00019050,water-surface,broken,368,1045,surface,water,Zn,O,O-Zn,1.971700,
39,set_000__step_00019550,set_000__step_00019050,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.051478,
40,set_000__step_00020050,set_000__step_00019550,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.088304
40,set_000__step_00020050,set_000__step_00019550,water-surface,formed,354,1043,surface,water,O,H,H-O,,1.041687
40,set_000__step_00020050,set_000__step_00019550,water-surface,formed,368,1045,surface,water,Zn,O,O-Zn,,2.153713
40,set_000__step_00020050,set_000__step_00019550,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,1.948460,
